model,source_file,task_id,year,class,original_task_id,math_category,is_text_only,ground_truth,prediction,is_correct,format_valid,error_type,error,inference_time,input_tokens
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_B4,2025,5und6,B4,Geometrie,False,D,D,True,True,,,0.2705,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_B6,2025,5und6,B6,Arithmetik,False,C,C,True,True,,,0.2694,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_B7,2025,5und6,B7,Algebra,True,D,C,False,True,,,0.2674,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_B8,2025,5und6,B8,Stochastik,False,A,B,False,True,,,0.2706,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_C1,2025,5und6,C1,Stochastik,True,C,D,False,True,,,0.278,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_C2,2025,5und6,C2,Algebra,False,C,C,True,True,,,0.2702,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_C3,2025,5und6,C3,Geometrie,False,B,D,False,True,,,0.2682,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_C4,2025,5und6,C4,Geometrie,False,E,B,False,True,,,0.2698,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_C5,2025,5und6,C5,Arithmetik,True,D,D,True,True,,,0.2692,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_C6,2025,5und6,C6,Geometrie,False,A,D,False,True,,,0.2714,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_C7,2025,5und6,C7,Algebra,True,D,B,False,True,,,0.2687,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_C8,2025,5und6,C8,Stochastik,True,B,B,True,True,,,0.2714,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_A1,2025,7und8,A1,Arithmetik,True,D,E,False,True,,,0.267,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_A2,2025,7und8,A2,Geometrie,False,E,C,False,True,,,0.2675,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_A3,2025,7und8,A3,Arithmetik,False,B,C,False,True,,,0.2659,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_A4,2025,7und8,A4,Geometrie,False,A,D,False,True,,,0.2671,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_A5,2025,7und8,A5,Geometrie,False,B,C,False,True,,,0.2672,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_A6,2025,7und8,A6,Arithmetik,True,E,E,True,True,,,0.2649,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_A7,2025,7und8,A7,Arithmetik,False,B,E,False,True,,,0.2699,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_A8,2025,7und8,A8,Geometrie,False,C,D,False,True,,,0.2671,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_A9,2025,7und8,A9,Arithmetik,True,A,A,True,True,,,0.265,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_A10,2025,7und8,A10,Stochastik,False,E,E,True,True,,,0.2649,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_B1,2025,7und8,B1,Arithmetik,True,A,C,False,True,,,0.2702,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_B2,2025,7und8,B2,Geometrie,False,C,D,False,True,,,0.2699,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_B3,2025,7und8,B3,Arithmetik,True,B,D,False,True,,,0.2657,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_B4,2025,7und8,B4,Arithmetik,False,D,D,True,True,,,0.2678,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_B5,2025,7und8,B5,unknown,False,D,D,True,True,,,0.2708,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_B6,2025,7und8,B6,Arithmetik,False,D,D,True,True,,,0.266,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_B7,2025,7und8,B7,Algebra,True,A,C,False,True,,,0.2679,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_B9,2025,7und8,B9,Arithmetik,True,E,C,False,True,,,0.267,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_C1,2025,7und8,C1,Geometrie,True,D,D,True,True,,,0.2659,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_C2,2025,7und8,C2,Algebra,True,A,C,False,True,,,0.2669,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_C3,2025,7und8,C3,Geometrie,False,C,D,False,True,,,0.269,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_C4,2025,7und8,C4,Stochastik,True,B,B,True,True,,,0.2691,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_C5,2025,7und8,C5,Arithmetik,False,C,D,False,True,,,0.2687,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_C6,2025,7und8,C6,Stochastik,True,D,C,False,True,,,0.2687,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_C7,2025,7und8,C7,Algebra,True,B,C,False,True,,,0.2721,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_C8,2025,7und8,C8,Geometrie,False,E,C,False,True,,,0.2773,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_C9,2025,7und8,C9,Arithmetik,True,A,E,False,True,,,0.2761,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_7und8_C10,2025,7und8,C10,Stochastik,False,D,D,True,True,,,0.2792,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_A1,2025,9und10,A1,Geometrie,False,D,D,True,True,,,0.2726,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_A2,2025,9und10,A2,Stochastik,True,B,C,False,True,,,0.2717,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_A3,2025,9und10,A3,Geometrie,False,E,B,False,True,,,0.2743,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_A4,2025,9und10,A4,Arithmetik,True,C,B,False,True,,,0.2693,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_A5,2025,9und10,A5,Geometrie,False,D,B,False,True,,,0.2757,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_A6,2025,9und10,A6,Arithmetik,True,B,B,True,True,,,0.2669,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_A7,2025,9und10,A7,Arithmetik,True,C,C,True,True,,,0.2746,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_A8,2025,9und10,A8,Stochastik,False,D,C,False,True,,,0.2693,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_A9,2025,9und10,A9,Stochastik,False,A,D,False,True,,,0.2733,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_A10,2025,9und10,A10,Algebra,True,A,D,False,True,,,0.2694,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_B1,2025,9und10,B1,Geometrie,False,B,D,False,True,,,0.2719,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_B2,2025,9und10,B2,Arithmetik,True,B,D,False,True,,,0.2714,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_B3,2025,9und10,B3,Stochastik,True,E,C,False,True,,,0.271,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_B4,2025,9und10,B4,Algebra,True,C,D,False,True,,,0.271,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_B5,2025,9und10,B5,Arithmetik,False,E,B,False,True,,,0.2713,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_B6,2025,9und10,B6,Arithmetik,True,A,D,False,True,,,0.2728,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_B7,2025,9und10,B7,unknown,False,B,D,False,True,,,0.2703,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_B8,2025,9und10,B8,Arithmetik,True,D,D,True,True,,,0.2693,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_B9,2025,9und10,B9,Stochastik,False,D,C,False,True,,,0.274,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_B10,2025,9und10,B10,Stochastik,True,C,C,True,True,,,0.2736,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_C1,2025,9und10,C1,Geometrie,False,D,B,False,True,,,0.2727,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_C2,2025,9und10,C2,Arithmetik,True,B,E,False,True,,,0.2741,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_C3,2025,9und10,C3,Algebra,False,C,C,True,True,,,0.2736,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_C4,2025,9und10,C4,Geometrie,False,B,C,False,True,,,0.2715,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_C5,2025,9und10,C5,Stochastik,True,A,D,False,True,,,0.2718,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_C6,2025,9und10,C6,Geometrie,False,C,D,False,True,,,0.273,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_C7,2025,9und10,C7,Algebra,True,E,B,False,True,,,0.2731,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_C9,2025,9und10,C9,Stochastik,False,E,C,False,True,,,0.2721,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_9und10_C10,2025,9und10,C10,Stochastik,True,B,C,False,True,,,0.2753,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_A1,2025,11bis13,A1,Arithmetik,True,C,A,False,True,,,0.2689,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_A2,2025,11bis13,A2,Geometrie,False,A,A,True,True,,,0.2728,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_A3,2025,11bis13,A3,Arithmetik,True,D,C,False,True,,,0.2683,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_A4,2025,11bis13,A4,Geometrie,False,C,B,False,True,,,0.272,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_A5,2025,11bis13,A5,Stochastik,True,D,C,False,True,,,0.2716,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_A7,2025,11bis13,A7,Algebra,True,E,C,False,True,,,0.2691,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_A8,2025,11bis13,A8,Geometrie,True,B,E,False,True,,,0.2734,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_A9,2025,11bis13,A9,Stochastik,True,D,C,False,True,,,0.2722,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_A10,2025,11bis13,A10,Arithmetik,True,C,D,False,True,,,0.2721,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_B1,2025,11bis13,B1,Geometrie,False,E,C,False,True,,,0.2758,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_B2,2025,11bis13,B2,Stochastik,True,D,C,False,True,,,0.2698,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_B3,2025,11bis13,B3,Geometrie,False,E,D,False,True,,,0.2719,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_B4,2025,11bis13,B4,Geometrie,False,B,E,False,True,,,0.2723,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_B5,2025,11bis13,B5,Algebra,False,C,B,False,True,,,0.2797,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_B6,2025,11bis13,B6,Stochastik,True,A,D,False,True,,,0.2664,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_B7,2025,11bis13,B7,Geometrie,True,B,C,False,True,,,0.2706,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_B8,2025,11bis13,B8,Algebra,True,E,C,False,True,,,0.2643,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_B10,2025,11bis13,B10,Geometrie,True,E,C,False,True,,,0.2668,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_C1,2025,11bis13,C1,Algebra,True,A,B,False,True,,,0.2698,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_C2,2025,11bis13,C2,unknown,False,B,C,False,True,,,0.2725,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_C3,2025,11bis13,C3,Stochastik,True,D,D,True,True,,,0.2738,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_C4,2025,11bis13,C4,Geometrie,False,D,D,True,True,,,0.2699,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_C5,2025,11bis13,C5,Stochastik,False,B,C,False,True,,,0.2752,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_C6,2025,11bis13,C6,Algebra,True,C,C,True,True,,,0.2703,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_C7,2025,11bis13,C7,Geometrie,False,E,D,False,True,,,0.2737,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_C8,2025,11bis13,C8,Geometrie,False,B,C,False,True,,,0.2717,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_C9,2025,11bis13,C9,Arithmetik,False,A,D,False,True,,,0.2665,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_11bis13_C10,2025,11bis13,C10,Geometrie,False,B,B,True,True,,,0.2752,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_A1,2025,3und4,A1,Geometrie,False,D,B,False,True,,,0.1784,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_A2,2025,3und4,A2,Geometrie,False,C,B,False,True,,,0.1773,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_A3,2025,3und4,A3,Geometrie,False,A,B,False,True,,,0.1779,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_A4,2025,3und4,A4,Arithmetik,True,E,D,False,True,,,0.1776,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_A5,2025,3und4,A5,Geometrie,False,A,B,False,True,,,0.1808,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_A6,2025,3und4,A6,Geometrie,False,B,C,False,True,,,0.1778,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_A7,2025,3und4,A7,Geometrie,False,D,C,False,True,,,0.1755,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_A8,2025,3und4,A8,Arithmetik,True,E,C,False,True,,,0.1726,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_B1,2025,3und4,B1,Geometrie,False,E,A,False,True,,,0.1747,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_B2,2025,3und4,B2,Arithmetik,False,E,B,False,True,,,0.1759,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_B3,2025,3und4,B3,Geometrie,False,B,E,False,True,,,0.1769,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_B4,2025,3und4,B4,Stochastik,False,E,A,False,True,,,0.1745,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_B5,2025,3und4,B5,Arithmetik,False,A,A,True,True,,,0.1751,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_B6,2025,3und4,B6,Geometrie,False,C,B,False,True,,,0.1755,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_B7,2025,3und4,B7,Arithmetik,True,B,D,False,True,,,0.1742,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_B8,2025,3und4,B8,Stochastik,True,D,A,False,True,,,0.1751,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_C1,2025,3und4,C1,Arithmetik,False,D,E,False,True,,,0.1778,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_C2,2025,3und4,C2,Geometrie,False,B,B,True,True,,,0.1849,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_C3,2025,3und4,C3,Arithmetik,False,B,B,True,True,,,0.186,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_C4,2025,3und4,C4,Geometrie,False,C,A,False,True,,,0.1827,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_C5,2025,3und4,C5,Geometrie,False,D,B,False,True,,,0.1827,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_C6,2025,3und4,C6,Algebra,True,C,D,False,True,,,0.177,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_C7,2025,3und4,C7,Geometrie,False,A,C,False,True,,,0.1763,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_3und4_C8,2025,3und4,C8,Algebra,False,C,B,False,True,,,0.1818,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_5und6_A1,2025,5und6,A1,unknown,False,E,A,False,True,,,0.181,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_5und6_A2,2025,5und6,A2,Geometrie,False,B,E,False,True,,,0.1773,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_5und6_A3,2025,5und6,A3,Geometrie,False,D,B,False,True,,,0.177,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_5und6_A4,2025,5und6,A4,Arithmetik,False,A,C,False,True,,,0.1794,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_5und6_A5,2025,5und6,A5,Geometrie,False,A,E,False,True,,,0.1788,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_5und6_A6,2025,5und6,A6,Arithmetik,False,B,B,True,True,,,0.1789,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_5und6_A7,2025,5und6,A7,Arithmetik,False,B,C,False,True,,,0.1785,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_5und6_A8,2025,5und6,A8,Geometrie,True,C,A,False,True,,,0.1779,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_5und6_B1,2025,5und6,B1,Arithmetik,False,B,D,False,True,,,0.1794,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_5und6_B2,2025,5und6,B2,Geometrie,False,E,E,True,True,,,0.1777,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_5und6_B3,2025,5und6,B3,Arithmetik,False,D,E,False,True,,,0.1822,352
Gemma-3-27B-vLLM,Gemma-3-27B-vLLM_results.jsonl,2025_5und6_B4,2025,5und6,B4,Geometrie,False,D,C,False,True,,,0.1801,352
